,depth_ask_price_1,depth_ask_price_10,depth_ask_price_11,depth_ask_price_12,depth_ask_price_13,depth_ask_price_14,depth_ask_price_15,depth_ask_price_16,depth_ask_price_17,depth_ask_price_18,depth_ask_price_19,depth_ask_price_2,depth_ask_price_20,depth_ask_price_3,depth_ask_price_4,depth_ask_price_5,depth_ask_price_6,depth_ask_price_7,depth_ask_price_8,depth_ask_price_9,depth_ask_quantity_1,depth_ask_quantity_10,depth_ask_quantity_11,depth_ask_quantity_12,depth_ask_quantity_13,depth_ask_quantity_14,depth_ask_quantity_15,depth_ask_quantity_16,depth_ask_quantity_17,depth_ask_quantity_18,depth_ask_quantity_19,depth_ask_quantity_2,depth_ask_quantity_20,depth_ask_quantity_3,depth_ask_quantity_4,depth_ask_quantity_5,depth_ask_quantity_6,depth_ask_quantity_7,depth_ask_quantity_8,depth_ask_quantity_9,depth_bid_price_1,depth_bid_price_10,depth_bid_price_11,depth_bid_price_12,depth_bid_price_13,depth_bid_price_14,depth_bid_price_15,depth_bid_price_16,depth_bid_price_17,depth_bid_price_18,depth_bid_price_19,depth_bid_price_2,depth_bid_price_20,depth_bid_price_3,depth_bid_price_4,depth_bid_price_5,depth_bid_price_6,depth_bid_price_7,depth_bid_price_8,depth_bid_price_9,depth_bid_quantity_1,depth_bid_quantity_10,depth_bid_quantity_11,depth_bid_quantity_12,depth_bid_quantity_13,depth_bid_quantity_14,depth_bid_quantity_15,depth_bid_quantity_16,depth_bid_quantity_17,depth_bid_quantity_18,depth_bid_quantity_19,depth_bid_quantity_2,depth_bid_quantity_20,depth_bid_quantity_3,depth_bid_quantity_4,depth_bid_quantity_5,depth_bid_quantity_6,depth_bid_quantity_7,depth_bid_quantity_8,depth_bid_quantity_9,kline_base_volume,kline_close_price,kline_high_price,kline_low_price,kline_open_price,kline_quote_volume,kline_taker_base_volume,kline_taker_quote_volume,kline_time_since_update,kline_trade_number,kline_update_time
2020-04-02 16:16:38.991475,6635.64,6637.07,6637.08,6637.32,6637.33,6637.34,6637.53,6637.65,6637.82,6637.85,6638.0,6636.24,6638.08,6636.27,6636.29,6636.31,6636.36,6636.69,6636.72,6637.06,0.056523,0.284745,0.800157,1.000089,0.006094,4.0,0.5,0.265,0.055581,0.126,0.03,0.00336,0.25,0.125092,0.1,0.067782,0.4,0.110068,0.109998,1.000076,6635.61,6632.62,6632.35,6632.34,6632.06,6632.01,6631.95,6631.69,6631.64,6631.63,6631.34,6635.27,6631.33,6634.94,6634.82,6634.0,6633.79,6633.48,6632.71,6632.64,0.093476,0.00998,1.000083,0.294,0.256139,0.226088,0.069493,0.476205,0.226113,0.25,0.15088,0.004254,0.150799,0.019588,0.249762,0.419758,0.300202,0.25,0.210075,0.2,192.320173,6635.61,6638.15,6623.59,6626.17,1275222.69274928,81.373266,539617.3499545,38990.595458984375,1113.0,1585833359999.0
2020-04-02 16:16:40.110924,6637.33,6639.37,6639.4,6639.51,6639.52,6639.58,6639.6,6639.96,6640.0,6640.26,6640.29,6637.34,6640.37,6637.47,6637.65,6639.08,6639.12,6639.21,6639.33,6639.34,0.006094,0.105052,0.301232,0.467055,0.5,0.499955,0.408,0.099981,0.09993,0.150772,0.150726,0.56871,0.284745,0.004386,0.265,0.4,0.150709,0.126,0.151054,0.015,6637.32,6634.02,6634.0,6633.84,6632.81,6632.72,6632.35,6632.34,6632.28,6631.95,6631.63,6636.63,6631.37,6636.46,6636.28,6635.95,6635.65,6635.61,6634.94,6634.83,3.5,0.2,0.389758,0.303,0.150714,0.315255,0.188374,0.294,0.150701,0.069493,0.25,1.0,0.00306,0.19484,4.242436,0.004055,2.078887,0.093476,0.019588,0.25,192.320173,6635.61,6638.15,6623.59,6626.17,1275222.69274928,81.373266,539617.3499545,40109.761474609375,1113.0,1585833359999.0
2020-04-02 16:16:41.260137,6636.13,6637.34,6637.56,6637.58,6637.65,6637.97,6638.0,6638.07,6638.17,6638.18,6638.28,6636.22,6638.55,6636.36,6636.37,6636.43,6636.95,6636.96,6637.0,6637.33,0.004777,0.566364,0.565204,0.300202,0.265,0.530066,0.03,0.5,0.2,0.04642,0.4,0.4,0.300093,0.210579,0.124847,0.085634,0.28784,0.284745,0.003014,0.566452,6635.69,6633.4,6633.39,6632.77,6632.72,6632.4,6632.39,6632.37,6632.34,6632.1,6632.09,6635.61,6631.96,6635.15,6634.42,6634.41,6634.37,6634.01,6634.0,6633.43,0.022599,0.25,0.300202,0.315325,0.315255,1.000001,1.355904,0.299,0.294,0.150814,0.15072,0.093476,0.069588,0.003988,0.233251,0.033251,0.2,0.419831,0.419758,0.550298,192.320173,6635.61,6638.15,6623.59,6626.17,1275222.69274928,81.373266,539617.3499545,41259.5244140625,1113.0,1585833359999.0
2020-04-02 16:16:42.400816,6636.21,6637.62,6637.65,6637.67,6637.99,6638.02,6638.06,6638.07,6638.18,6638.28,6638.48,6636.7,6638.56,6636.71,6636.72,6636.95,6636.96,6637.0,6637.33,6637.34,0.157138,0.565233,0.265,0.300202,1.000032,0.150724,0.349009,0.5,0.04642,0.4,0.450753,0.125332,0.3,0.120776,0.004521,0.287792,0.284745,0.003014,0.566452,0.566364,6635.69,6634.37,6634.06,6634.05,6634.0,6633.69,6633.68,6633.47,6633.44,6633.4,6632.93,6635.61,6632.92,6635.6,6635.18,6635.17,6634.68,6634.67,6634.42,6634.41,0.020799,0.2,0.719973,0.300202,0.419758,1.000021,1.25,0.301003,0.050991,0.25,0.11335,0.093476,0.11334,0.003054,0.120407,0.120776,0.335488,0.335454,0.233265,0.033251,192.320173,6635.61,6638.15,6623.59,6626.17,1275222.69274928,81.373266,539617.3499545,42399.717529296875,1113.0,1585833359999.0
2020-04-02 16:16:43.545465,6636.16,6636.96,6637.0,6637.31,6637.32,6637.34,6637.6,6637.65,6637.67,6637.97,6638.0,6636.2,6638.02,6636.21,6636.48,6636.59,6636.6,6636.69,6636.71,6636.95,0.257191,0.284745,0.003014,0.766161,0.199755,0.566364,0.664715,0.364466,0.300202,0.680774,0.03,0.1,0.150724,0.157138,0.08331,0.353847,0.004784,0.349009,0.120776,0.287792,6635.69,6634.0,6633.69,6633.68,6633.47,6633.44,6633.4,6632.93,6632.92,6632.77,6632.72,6635.61,6632.44,6635.46,6634.68,6634.67,6634.42,6634.41,6634.37,6634.08,0.020799,0.419758,1.000021,1.25,0.301003,0.050991,0.25,0.11335,0.11334,0.315325,0.315255,0.093476,0.819102,0.003713,0.335493,0.335454,0.233265,0.033251,0.2,0.419798,192.320173,6635.61,6638.15,6623.59,6626.17,1275222.69274928,81.373266,539617.3499545,43544.596435546875,1113.0,1585833359999.0
2020-04-02 16:16:44.678636,6636.03,6636.45,6636.59,6636.69,6637.0,6637.29,6637.3,6637.32,6637.34,6637.58,6637.59,6636.04,6637.65,6636.06,6636.13,6636.15,6636.2,6636.27,6636.32,6636.44,0.166082,0.08331,0.353847,0.349009,0.003014,1.000077,0.265247,0.199755,0.566364,1.000059,0.499955,0.119369,0.364466,4.0,0.01521,0.1,0.1,0.150747,0.004308,0.083389,6635.69,6633.49,6633.44,6633.04,6633.03,6632.65,6632.46,6632.45,6632.41,6632.37,6632.34,6635.61,6631.96,6635.17,6634.67,6634.41,6634.01,6634.0,6633.64,6633.63,0.014861,0.051056,0.050991,0.250068,0.25,0.168271,0.725137,0.2,0.226076,0.299,0.294,0.093476,0.06952,0.003355,0.335454,0.033251,0.419822,0.419758,0.300282,0.300202,192.320173,6635.61,6638.15,6623.59,6626.17,1275222.69274928,81.373266,539617.3499545,44677.202392578125,1113.0,1585833359999.0
2020-04-02 16:16:45.827060,6636.01,6636.68,6636.69,6636.82,6636.83,6637.0,6637.27,6637.28,6637.29,6637.3,6637.32,6636.02,6637.34,6636.04,6636.15,6636.2,6636.26,6636.27,6636.44,6636.45,0.060008,0.349014,0.349009,0.500007,0.5,0.003014,1.000011,0.528653,1.000087,0.265247,0.199755,0.007503,0.566364,0.114369,0.100009,0.1,0.003547,0.150747,0.083389,0.08331,6635.69,6633.44,6633.04,6633.03,6632.68,6632.65,6632.59,6632.5,6632.45,6632.41,6632.4,6635.61,6632.34,6635.16,6634.67,6634.01,6634.0,6633.64,6633.63,6633.49,0.014861,0.050991,0.250068,0.25,0.31837,0.168271,0.15,0.222794,0.2,0.226076,0.10754,0.093476,0.294,0.003281,0.335454,0.419822,0.419758,0.300282,0.300202,0.051056,192.320173,6635.61,6638.15,6623.59,6626.17,1275222.69274928,81.373266,539617.3499545,45826.244140625,1113.0,1585833359999.0
2020-04-02 16:16:46.989799,6635.91,6636.2,6636.27,6636.44,6636.45,6636.68,6636.69,6636.94,6637.0,6637.12,6637.16,6635.94,6637.17,6635.96,6635.98,6636.0,6636.01,6636.02,6636.1,6636.19,0.497037,0.1,0.150747,0.083342,0.08331,0.349043,0.349009,0.284745,0.003014,0.150749,0.055619,0.107704,0.5,0.005,4.0,0.1,0.15658,0.007503,0.004674,0.250778,6635.69,6632.72,6632.63,6632.59,6632.51,6632.45,6632.41,6632.34,6632.01,6632.0,6631.95,6635.61,6631.66,6635.08,6634.67,6634.0,6633.49,6633.44,6633.09,6633.08,0.011847,0.250038,0.25,0.15,1.25,0.2,0.226076,0.294,0.099521,0.03,0.069493,0.093476,0.30403,0.004977,0.335454,0.389758,0.051056,0.050991,0.300241,0.300202,192.320173,6635.61,6638.15,6623.59,6626.17,1275222.69274928,81.373266,539617.3499545,46989.17626953125,1113.0,1585833359999.0
2020-04-02 16:16:48.083515,6635.7,6636.27,6636.45,6636.69,6636.94,6637.0,6637.12,6637.16,6637.17,6637.28,6637.3,6635.87,6637.32,6635.9,6635.96,6635.98,6636.01,6636.02,6636.04,6636.2,4.101558,0.150747,0.08331,0.349009,0.284745,0.003014,0.150749,0.055619,0.5,0.528653,0.265247,0.316045,0.199755,0.499955,0.005,4.0,0.15658,0.007503,0.00374,0.1,6635.69,6633.08,6632.64,6632.63,6632.59,6632.51,6632.45,6632.41,6632.34,6632.01,6632.0,6635.61,6631.95,6635.05,6635.0,6634.67,6634.0,6633.45,6633.44,6633.09,0.011847,0.300202,0.400044,0.25,0.15,1.25,0.2,0.226076,0.294,0.099535,0.03,0.093476,0.069493,0.004761,0.070404,0.335454,0.389758,0.051039,0.050991,0.300248,192.320173,6635.61,6638.15,6623.59,6626.17,1275222.69274928,81.373266,539617.3499545,48083.304931640625,1113.0,1585833359999.0
2020-04-02 16:16:49.214394,6635.6,6636.02,6636.12,6636.13,6636.2,6636.21,6636.27,6636.68,6636.69,6636.93,6637.0,6635.61,6637.12,6635.73,6635.74,6635.86,6635.89,6635.95,6636.0,6636.01,0.113672,0.007503,0.20699,0.106905,0.1,0.002987,0.150747,0.349073,0.349009,0.800157,0.003014,0.006966,0.150749,0.226091,4.0,0.100092,0.1,0.004775,0.168705,0.15658,6634.67,6632.59,6632.51,6632.41,6632.34,6632.01,6632.0,6631.95,6631.7,6631.65,6631.34,6634.46,6631.33,6634.01,6634.0,6633.47,6633.46,6633.44,6632.64,6632.63,0.259204,0.15,1.25,0.226076,0.294,0.099535,0.03,0.069493,0.304067,0.304013,0.150896,0.203913,0.150799,0.389853,0.389758,0.251077,0.2,0.050991,0.400044,0.25,192.320173,6635.61,6638.15,6623.59,6626.17,1275222.69274928,81.373266,539617.3499545,49213.478515625,1113.0,1585833359999.0
2020-04-02 16:16:50.324584,6635.13,6636.02,6636.2,6636.21,6636.27,6636.93,6637.0,6637.12,6637.16,6637.17,6637.28,6635.45,6637.3,6635.58,6635.59,6635.61,6635.73,6635.74,6635.79,6636.0,3.93368,0.007503,0.1,0.002987,0.150747,0.499955,0.003014,0.150749,0.055619,0.5,0.528653,0.005,0.265247,0.241025,0.34734,0.006966,0.467025,4.0,0.106905,0.03,6634.67,6632.38,6632.34,6632.01,6632.0,6631.95,6631.76,6631.7,6631.65,6631.34,6631.33,6634.33,6630.96,6634.0,6633.46,6632.66,6632.65,6632.59,6632.46,6632.41,0.122782,0.25,0.19332,0.099535,0.03,0.069493,1.000023,1.25,0.304013,0.150896,0.150799,0.003144,0.520698,0.389758,0.2,0.202666,0.05266,0.15,0.4761,0.226076,192.320173,6635.61,6638.15,6623.59,6626.17,1275222.69274928,81.373266,539617.3499545,50322.791015625,1113.0,1585833359999.0
2020-04-02 16:16:51.465092,6635.09,6636.02,6636.12,6636.2,6636.21,6636.27,6636.33,6636.75,6636.76,6636.93,6637.0,6635.11,6637.15,6635.12,6635.13,6635.61,6635.69,6635.74,6635.79,6636.0,0.301038,0.007503,0.150767,0.1,0.002987,0.150747,0.300202,0.34734,0.396,0.499955,0.003014,0.004871,0.284745,0.186592,3.972859,0.006966,0.58803,4.0,0.106905,0.590798,6634.67,6632.48,6632.41,6632.34,6632.01,6632.0,6631.95,6631.83,6631.71,6631.7,6631.65,6634.36,6631.34,6634.0,6633.46,6633.23,6632.76,6632.75,6632.65,6632.59,0.119768,0.226108,0.226076,0.19332,0.099535,0.03,0.069493,0.250033,1.150773,1.25,0.304013,0.003792,0.150896,0.389758,0.2,0.25,0.300241,0.300202,0.05266,0.15,192.320173,6635.61,6638.15,6623.59,6626.17,1275222.69274928,81.373266,539617.3499545,51464.462890625,1113.0,1585833359999.0
2020-04-02 16:16:52.617429,6635.54,6637.63,6637.65,6637.69,6637.78,6637.79,6637.97,6637.98,6638.08,6638.26,6638.27,6636.0,6638.28,6636.21,6637.0,6637.27,6637.28,6637.32,6637.34,6637.62,0.996155,0.052047,0.364466,0.002251,0.150806,0.150724,0.34742,0.34734,0.126,0.700078,0.3,0.523636,0.4,0.002987,0.003014,1.000058,0.528653,0.150767,0.566364,0.418853,6635.53,6632.66,6632.49,6632.42,6632.41,6632.28,6631.97,6631.96,6631.95,6631.66,6631.65,6635.12,6631.34,6634.67,6634.1,6634.09,6634.0,6633.46,6632.93,6632.92,3.236365,0.3,0.150721,0.099938,0.226076,0.297,0.2,0.2,0.069493,0.226072,0.304013,4.0,0.188398,0.119768,0.05266,0.25,0.419758,0.2,0.315255,1.25,192.320173,6635.61,6638.15,6623.59,6626.17,1275222.69274928,81.373266,539617.3499545,52616.686767578125,1113.0,1585833359999.0
2020-04-02 16:16:53.745641,6635.44,6637.18,6637.28,6637.32,6637.34,6637.63,6637.65,6637.69,6637.98,6638.0,6638.08,6635.81,6638.27,6635.82,6635.88,6635.92,6636.0,6636.21,6637.14,6637.15,0.003195,0.5,0.528653,0.150767,0.566364,0.052047,0.364466,0.002251,0.34734,0.03,0.126,0.003014,0.3,0.106905,0.128479,4.0,0.523636,0.002987,0.196052,0.300202,6634.18,6632.93,6632.8,6632.45,6632.41,6632.29,6632.28,6632.02,6632.0,6631.95,6631.79,6634.1,6631.76,6634.0,6633.66,6633.65,6633.47,6633.46,6633.03,6632.98,0.201961,0.315255,1.25,0.226091,0.226076,0.297007,0.297,0.06951,0.03,0.069493,0.300776,0.05266,0.150719,0.389758,0.300256,0.300202,0.200099,0.2,0.565291,0.25,192.320173,6635.61,6638.15,6623.59,6626.17,1275222.69274928,81.373266,539617.3499545,53745.086181640625,1113.0,1585833359999.0
2020-04-02 16:16:54.871356,6634.84,6636.21,6636.85,6637.12,6637.13,6637.14,6637.18,6637.28,6637.32,6637.34,6637.64,6634.97,6637.65,6635.03,6635.75,6635.76,6635.82,6635.91,6635.92,6636.0,0.003834,0.002987,0.404,0.109998,0.199844,0.3,0.5,0.528653,0.150767,0.566364,0.226111,0.022605,0.364466,4.0,0.354334,0.34734,0.006975,1.000001,4.0,0.553636,6633.93,6632.75,6632.74,6632.49,6632.48,6632.04,6632.03,6632.0,6631.95,6631.77,6631.76,6633.79,6631.7,6633.78,6633.7,6633.69,6633.47,6633.46,6633.07,6633.04,0.004686,1.00005,1.25,0.250081,0.25,1.000015,1.355955,0.03,0.069493,0.300764,0.150719,1.0,0.15,0.202644,0.022607,0.003793,0.200044,0.2,0.052724,0.05266,192.320173,6635.61,6638.15,6623.59,6626.17,1275222.69274928,81.373266,539617.3499545,54870.187744140625,1113.0,1585833359999.0
